orbital_period_days,transit_duration_hours,transit_depth_ppm,planetary_radius_earth_radii,insolation_flux_earth_flux,equilibrium_temperature_k,stellar_effective_temperature_k,stellar_surface_gravity_log10_cm_s2,stellar_radius_solar_radii,right_ascension_decimal_degrees,declination_decimal_degrees
4.49876511,3.7362,460.0,2.1,389.62,1133.0,6075.0,4.486,0.969,298.45685,48.791592
19.65120951,5.2514,11800.0,12.42,67.03,730.0,6074.0,4.391,1.063,291.0939,48.933842
5.412203927,2.9472,602.0,2.94,337.68,1093.0,5779.0,4.339,1.087,287.88733,46.276241
41.43958662,10.5989,2790.0,5.5,16.72,516.0,5468.0,4.367,1.046,295.55505,49.017342
8.35389523,2.2514,1040.0,2.52,91.9,790.0,5592.0,4.582,0.787,285.49924,49.277351
4.125543472,3.1744,1490.0,4.43,565.35,1243.0,6174.0,4.417,1.103,291.93616,49.253979
2.816504904,2.50587,16800.0,12.21,521.13,1219.0,5532.0,4.452,0.955,297.01547,49.225288
33.93373447,14.561,8500.0,7.34,8.11,430.0,5040.0,4.628,0.705,284.17233,49.360722
3.689920099,2.6557,427.0,1.89,408.99,1147.0,5880.0,4.518,0.917,291.62241,50.61824
4.431238488,3.15,1010.0,3.25,351.23,1104.0,5714.0,4.428,1.015,295.81616,51.121738
11.37936986,2.6255,1020.0,3.95,99.68,806.0,5714.0,4.428,1.015,295.81616,51.121738
26.39432897,3.573,1510.0,3.07,13.49,489.0,5129.0,4.595,0.763,289.39972,51.25032
13.57078281,3.3539,512.0,2.64,89.61,785.0,5854.0,4.406,1.012,300.86398,44.337551
7.12594387,3.0014,192.0,1.79,233.31,997.0,5779.0,4.339,1.087,287.88733,46.276241
7.442652004,2.3078,24400.0,15.03,206.78,967.0,6108.0,4.469,0.956,288.98682,49.733742
16.38489988,3.0249,1130.0,2.0,8.35,433.0,4126.0,4.661,0.615,286.73804,49.97575
7.8774163,2.0805,1310.0,2.16,22.18,553.0,4126.0,4.661,0.615,286.73804,49.97575
36.4454001,4.007,1120.0,1.99,2.88,332.0,4126.0,4.661,0.615,286.73804,49.97575
3.728732147,2.683,5230.0,6.02,258.34,1023.0,5497.0,4.577,0.809,290.78574,50.054119
40.4195037,3.362,6260.0,7.51,11.29,467.0,5446.0,4.507,0.781,294.31686,50.080231
2.243380573,1.1196,822.0,1.99,107.6,822.0,4149.0,4.698,0.564,285.17621,50.149818
10.40599802,6.5036,14500.0,11.23,113.94,833.0,5746.0,4.393,0.924,289.23553,50.241001
2.337437946,1.9982,971.0,2.34,311.16,1070.0,5005.0,4.595,0.765,293.83331,50.23035
7.2406612,0.558,556.0,19.45,68.63,734.0,5005.0,4.595,0.765,293.83331,50.23035
3.43591631,3.133,23.2,0.55,617.61,1272.0,5779.0,4.339,1.087,287.88733,46.276241
11.59822233,2.5237,2800.0,2.65,5.82,396.0,3688.0,4.79,0.473,296.22195,50.28722
6.575315881,4.3084,2790.0,5.31,251.38,1015.0,5992.0,4.415,0.989,290.09805,50.321609
7.275040844,7.5377,3000.0,4.86,113.64,833.0,5485.0,4.556,0.867,295.45529,50.49456
19.27153892,2.7594,1220.0,1.93,5.66,393.0,4077.0,4.702,0.56,293.97336,50.53191
10.06524317,1.369,1050.0,1.91,13.43,488.0,4077.0,4.702,0.56,293.97336,50.53191
12.3935651,3.8896,917.0,2.66,49.68,677.0,5557.0,4.603,0.75,296.02133,50.56778
43.84439721,6.802,615.0,2.87,18.77,531.0,5854.0,4.406,1.012,300.86398,44.337551
3.341913228,3.813,725.0,21.55,268.67,1032.0,5295.0,4.551,0.811,292.31595,38.27029
1.626630225,2.1145,1620.0,32.43,1355.88,1547.0,5735.0,4.41,0.973,294.36819,38.31028
2.711504086,3.0099,838.0,3.12,960.79,1420.0,6214.0,4.442,1.076,291.65353,38.494659
7.21203748,4.0491,950.0,3.32,260.58,1025.0,6214.0,4.442,1.076,291.65353,38.494659
8.47237911,2.7245,1120.0,2.59,75.44,751.0,5354.0,4.587,0.788,296.36652,51.319519
60.4189369,5.039,931.0,2.36,5.49,390.0,5354.0,4.587,0.788,296.36652,51.319519
12.61190435,5.1497,6110.0,7.4,76.15,753.0,5795.0,4.508,0.919,289.11221,51.737381
1.433769925,1.8868,1980.0,46.58,3209.29,1920.0,6017.0,4.22,1.339,290.84369,37.728828
10.31872301,3.836,872.0,28.59,139.26,876.0,5927.0,4.409,1.06,291.84891,37.713501
2.539183147,2.4282,382.0,2.06,743.09,1332.0,5519.0,4.35,1.062,291.43997,37.905659
6.770300385,2.0844,1300.0,2.77,102.87,812.0,5653.0,4.656,0.679,290.87051,38.273628
